物品,品质,等级,数量,一口价,图标,_notes
天赋书[削弱·怒],灵品,0,15,1888,宠物天赋\天赋书削弱怒.png,
天赋书[土岩·怒],灵品,0,18,7991,宠物天赋\天赋书土岩怒.png,
天赋书[土岩·极],珍品,0,7,555,宠物天赋\天赋书土岩极.png,
天赋书[坚壁],良品,0,7,320,宠物天赋\天赋书坚壁.png,
天赋书[坚壁·怒],灵品,0,23,5770,宠物天赋\天赋书坚壁怒.png,
天赋书[坚壁·极],珍品,0,28,1980,宠物天赋\天赋书坚壁极.png,
天赋书[复元],良品,0,3,3000,宠物天赋\天赋书复元.png,
天赋书[复元·怒],灵品,0,1,2999,宠物天赋\天赋书复元怒.png,
天赋书[复元·极],珍品,0,2,3333,宠物天赋\天赋书复元极.png,
天赋书[失焦],良品,0,5,555,宠物天赋\天赋书失焦.png,
天赋书[失焦·极],珍品,0,1,333,宠物天赋\天赋书失焦极.png,
天赋书[强攻],良品,0,3,330,宠物天赋\天赋书强攻.png,
天赋书[强攻·怒],灵品,0,5,40000,宠物天赋\天赋书强攻怒.png,
天赋书[战伤耀],良品,0,1,2000,宠物天赋\天赋书战伤耀.png,
天赋书[战伤耀·怒],灵品,0,20,19998,宠物天赋\天赋书战伤耀怒.png,
天赋书[战伤耀·极],珍品,0,3,4800,宠物天赋\天赋书战伤耀极.png,
天赋书[战准凝·怒],灵品,0,77,18888,宠物天赋\天赋书战准凝怒.png,
天赋书[战准凝·极],珍品,0,8,1111,宠物天赋\天赋书战准凝极.png,
天赋书[战御固],良品,0,6,2220,宠物天赋\天赋书战御固.png,
天赋书[战御固·怒],灵品,0,18,5995,宠物天赋\天赋书战御固怒.png,
天赋书[战御固·极],珍品,0,9,690,宠物天赋\天赋书战御固极.png,
天赋书[战心炽],良品,0,18,500,宠物天赋\天赋书战心炽.png,
天赋书[战心炽·怒],灵品,0,7,16000,宠物天赋\天赋书战心炽怒.png,
天赋书[战心炽·极],珍品,0,1,1999,宠物天赋\天赋书战心炽极.png,
天赋书[战效烈],良品,0,17,998,宠物天赋\天赋书战效烈.png,
天赋书[战效烈·怒],灵品,0,15,9888,宠物天赋\天赋书战效烈怒.png,
天赋书[战效烈·极],珍品,0,32,2400,宠物天赋\天赋书战效烈极.png,
天赋书[战速疾],良品,0,3,500,宠物天赋\天赋书战速疾.png,
天赋书[战速疾·怒],灵品,0,19,4990,宠物天赋\天赋书战速疾怒.png,
天赋书[战速疾·极],珍品,0,2,1000,宠物天赋\天赋书战速疾极.png,
天赋书[战避敏],良品,0,4,790,宠物天赋\天赋书战避敏.png,
天赋书[战避敏·怒],灵品,0,9,3333,宠物天赋\天赋书战避敏怒.png,
天赋书[战避敏·极],珍品,0,7,666,宠物天赋\天赋书战避敏极.png,
天赋书[战锋锐],良品,0,14,2220,宠物天赋\天赋书战锋锐.png,
天赋书[战锋锐·怒],灵品,0,9,18886,宠物天赋\天赋书战锋锐怒.png,
天赋书[战锋锐·极],珍品,0,5,7200,宠物天赋\天赋书战锋锐极.png,
天赋书[木华],良品,0,1,400,宠物天赋\天赋书木华.png,
天赋书[木华·怒],灵品,0,6,9986,宠物天赋\天赋书木华怒.png,
天赋书[木华·极],珍品,0,1,3333,宠物天赋\天赋书木华极.png,
天赋书[残伤·怒],灵品,0,9,1999,宠物天赋\天赋书残伤怒.png,
天赋书[残伤·极],珍品,0,4,1200,宠物天赋\天赋书残伤极.png,
天赋书[残破击·怒],灵品,0,73,1449,宠物天赋\天赋书残破击怒.png,
天赋书[残破击·极],珍品,0,11,1988,宠物天赋\天赋书残破击极.png,
天赋书[水澜],良品,0,3,333,宠物天赋\天赋书水澜.png,
天赋书[水澜·怒],灵品,0,7,9000,宠物天赋\天赋书水澜怒.png,
天赋书[水澜·极],珍品,0,5,2200,宠物天赋\天赋书水澜极.png,
天赋书[洞察],良品,0,3,300,宠物天赋\天赋书洞察.png,
天赋书[洞察·怒],灵品,0,8,7000,宠物天赋\天赋书洞察怒.png,
天赋书[洞察·极],珍品,0,9,700,宠物天赋\天赋书洞察极.png,
天赋书[溢伤·怒],灵品,0,15,18000,宠物天赋\天赋书溢伤怒.png,
天赋书[溢伤·极],珍品,0,5,15532,宠物天赋\天赋书溢伤极.png,
天赋书[溢破击],良品,0,7,600,宠物天赋\天赋书溢破击.png,
天赋书[溢破击·怒],灵品,0,2,21109,宠物天赋\天赋书溢破击怒.png,
天赋书[溢破击·极],珍品,0,9,14000,宠物天赋\天赋书溢破击极.png,
天赋书[灵动],良品,0,7,987,宠物天赋\天赋书灵动.png,
天赋书[灵动·怒],灵品,0,26,12786,宠物天赋\天赋书灵动怒.png,
天赋书[灵动·极],珍品,0,1,555,宠物天赋\天赋书灵动极.png,
天赋书[炎流],良品,0,2,777,宠物天赋\天赋书炎流.png,
天赋书[炎流·怒],灵品,0,5,18880,宠物天赋\天赋书炎流怒.png,
天赋书[炎流·极],珍品,0,9,4000,宠物天赋\天赋书炎流极.png,
天赋书[生息],良品,0,1,5888,宠物天赋\天赋书生息.png,
天赋书[生息·怒],灵品,0,19,8000,宠物天赋\天赋书生息怒.png,
天赋书[生息·极],珍品,0,2,600,宠物天赋\天赋书生息极.png,
天赋书[破伤],良品,0,5,9999,宠物天赋\天赋书破伤.png,
天赋书[破伤·怒],灵品,0,10,1800,宠物天赋\天赋书破伤怒.png,
天赋书[破势],良品,0,10,2500,宠物天赋\天赋书破势.png,
天赋书[破势·怒],灵品,0,28,7999,宠物天赋\天赋书破势怒.png,
天赋书[破势·极],珍品,0,14,2220,宠物天赋\天赋书破势极.png,
天赋书[续生],良品,0,7,333,宠物天赋\天赋书续生.png,
天赋书[续生·怒],灵品,0,4,2222,宠物天赋\天赋书续生怒.png,
天赋书[续生·极],珍品,0,5,999,宠物天赋\天赋书续生极.png,
天赋书[衰微],良品,0,7,333,宠物天赋\天赋书衰微.png,
天赋书[衰微·怒],灵品,0,11,1800,宠物天赋\天赋书衰微怒.png,
天赋书[衰微·极],珍品,0,2,398,宠物天赋\天赋书衰微极.png,
天赋书[超心],良品,0,6,888,宠物天赋\天赋书超心.png,
天赋书[超心·怒],灵品,0,10,19998,宠物天赋\天赋书超心怒.png,
天赋书[超心·极],珍品,0,3,3555,宠物天赋\天赋书超心极.png,
天赋书[迅影],良品,0,4,300,宠物天赋\天赋书迅影.png,
天赋书[迅影·怒],灵品,0,7,1488,宠物天赋\天赋书迅影怒.png,
天赋书[迅影·极],珍品,0,9,999,宠物天赋\天赋书迅影极.png,
天赋书[连斩],良品,0,10,3333,宠物天赋\天赋书连斩.png,
天赋书[连斩·怒],灵品,0,3,35000,宠物天赋\天赋书连斩怒.png,
天赋书[连斩·极],珍品,0,5,15500,宠物天赋\天赋书连斩极.png,
天赋书[迟缓],良品,0,3,500,宠物天赋\天赋书迟缓.png,
天赋书[迟缓·怒],灵品,0,10,1387,宠物天赋\天赋书迟缓怒.png,
天赋书[迟缓·极],珍品,0,7,1109,宠物天赋\天赋书迟缓极.png,
天赋书[金芒,珍品,0,8,2333,宠物天赋\天赋书金芒.png,
天赋书[金芒],良品,0,5,1195,宠物天赋\天赋书金芒.png,
天赋书[金芒·怒],灵品,0,26,12885,宠物天赋\天赋书金芒怒.png,
天赋书[金芒·极],珍品,0,8,2333,宠物天赋\天赋书金芒极.png,
天赋书[锐化],良品,0,17,333,宠物天赋\天赋书锐化.png,
天赋书[锐化·怒],灵品,0,8,10200,宠物天赋\天赋书锐化怒.png,
天赋书[锐化·极],珍品,0,34,1989,宠物天赋\天赋书锐化极.png,
天赋书[降攻],良品,0,2,550,宠物天赋\天赋书降攻.png,
天赋书[降攻·怒],灵品,0,16,1674,宠物天赋\天赋书降攻怒.png,
天赋书[降攻·极],珍品,0,1,333,宠物天赋\天赋书降攻极.png,
天赋书[黯灭],良品,0,2,5000,宠物天赋\天赋书黯灭.png,
天赋书[黯灭·怒],灵品,0,17,3280,宠物天赋\天赋书黯灭怒.png,
天赋书[黯灭·极],珍品,0,1,1348,宠物天赋\天赋书黯灭极.png,
天雷淬骨炖,灵品,0,101,1999,消耗品\天雷淬骨炖.png,
天黄·陈,良品,0,721,40,生产材料\天黄陈.png,
太阴月华,灵品,0,3575,225,物品\太阴月华.png,
女娲石,仙品,0,0,11900000,物品\女娲石.png,
如意海参,灵品,0,21,8880,消耗品\如意海参.png,
妙峰山魄,灵品,0,3,15564,法宝核心\妙峰山魄.png,
嫦娥太阳鱼·陈,凡品,0,58,190,生产材料\嫦娥太阳鱼陈.png,
寻灵砂礼袋,灵品,0,85,13500,礼包\寻灵砂礼袋.png,
寻珍配方随机礼包,灵品,0,116,6666,礼包\寻珍配方随机礼包.png,
尘缘丝,灵品,0,114,18111,法宝核心\尘缘丝.png,
岁华凝碧丸,灵品,0,214,1799,消耗品\岁华凝碧丸.png,
岚银扇骨,灵品,0,11,23541,法宝核心\岚银扇骨.png,
岭皂·陈,良品,0,1090,39,生产材料\岭皂陈.png,
帮派改名券,灵品,0,1,300000,物品\帮派改名券.png,
幻心凝铁,灵品,0,46,38190,法宝核心\幻心凝铁.png,
幻技书[三岩海啸],珍品,0,31,2222,宠物技能\幻技书三岩海啸.png,
幻技书[三金破魔],珍品,0,6,888,宠物技能\幻技书三金破魔.png,
幻技书[剑突],良品,0,32,9990,宠物技能\幻技书剑突.png,
幻技书[双剑斩],灵品,0,29,600,宠物技能\幻技书双剑斩.png,
幻技书[双龙焚天],珍品,0,14,1488,宠物技能\幻技书双龙焚天.png,
幻技书[古树怒击],珍品,0,12,5166,宠物技能\幻技书古树怒击.png,
幻技书[叶刃],良品,0,5,350,宠物技能\幻技书叶刃.png,
幻技书[天火燎原],珍品,0,10,600,宠物技能\幻技书天火燎原.png,
幻技书[天陨剑雨],珍品,0,20,1656,宠物技能\幻技书天陨剑雨.png,
幻技书[岩怒涛],灵品,0,9,400,宠物技能\幻技书岩怒涛.png,
幻技书[岩浪],良品,0,42,888,宠物技能\幻技书岩浪.png,
幻技书[岩爆天崩],珍品,0,28,100,宠物技能\幻技书岩爆天崩.png,
幻技书[岩阵],良品,0,13,2190,宠物技能\幻技书岩阵.png,
幻技书[巨木光陨],珍品,0,14,800,宠物技能\幻技书巨木光陨.png,
幻技书[巨石轰],灵品,0,49,2000,宠物技能\幻技书巨石轰.png,
幻技书[巨钟轰],灵品,0,25,640,宠物技能\幻技书巨钟轰.png,
幻技书[巨鲸吞灭],珍品,0,4,8,宠物技能\幻技书巨鲸吞灭.png,
幻技书[惊涛崩裂],珍品,0,5,111,宠物技能\幻技书惊涛崩裂.png,
幻技书[森罗],良品,0,11,9500,宠物技能\幻技书森罗.png,
幻技书[水弹],良品,0,19,690,宠物技能\幻技书水弹.png,
幻技书[水链],良品,0,6,111,宠物技能\幻技书水链.png,
幻技书[水龙卷],灵品,0,3,50,宠物技能\幻技书水龙卷.png,
幻技书[流星],良品,0,1,1888,宠物技能\幻技书流星.png,
幻技书[灵鱼],良品,0,5,111,宠物技能\幻技书灵鱼.png,
幻技书[炎弹],良品,0,5,188,宠物技能\幻技书炎弹.png,
幻技书[炎矢],良品,0,2,1000,宠物技能\幻技书炎矢.png,
幻技书[炎阵爆轰],珍品,0,6,2300,宠物技能\幻技书炎阵爆轰.png,
幻技书[焰光斩],灵品,0,10,800,宠物技能\幻技书焰光斩.png,
幻技书[狂澜天漩],珍品,0,12,654,宠物技能\幻技书狂澜天漩.png,
幻技书[生机流],灵品,0,14,3555,宠物技能\幻技书生机流.png,
幻技书[石砾],良品,0,16,1788,宠物技能\幻技书石砾.png,
幻技书[碎浪击],灵品,0,16,250,宠物技能\幻技书碎浪击.png,
幻技书[绿芒],良品,0,1,500,宠物技能\幻技书绿芒.png,
幻技书[苍木箭],灵品,0,6,888,宠物技能\幻技书苍木箭.png,
幻技书[蔓藤狂舞],珍品,0,9,800,宠物技能\幻技书蔓藤狂舞.png,
幻技书[藤蔓缚],灵品,0,4,800,宠物技能\幻技书藤蔓缚.png,
幻技书[裂地惊震],珍品,0,31,1100,宠物技能\幻技书裂地惊震.png,
幻技书[赤龙袭],灵品,0,2,2222,宠物技能\幻技书赤龙袭.png,
幻技书[重岩轰],灵品,0,12,488,宠物技能\幻技书重岩轰.png,
幻技书[金刃旋],灵品,0,7,800,宠物技能\幻技书金刃旋.png,
幻技书[金匕],良品,0,15,2022,宠物技能\幻技书金匕.png,
幻技书[金钟],良品,0,49,9880,宠物技能\幻技书金钟.png,
幻技书[金龙钟鸣],珍品,0,6,600,宠物技能\幻技书金龙钟鸣.png,
幻技书[陨星崩],灵品,0,19,1790,宠物技能\幻技书陨星崩.png,
幻技书[鱼影噬],灵品,0,5,99,宠物技能\幻技书鱼影噬.png,
幽炎血珀,灵品,0,100,5554,法宝核心\幽炎血珀.png,
幽芒星辉晶簇,灵品,0,5,990,物品\幽芒星辉晶簇.png,
庚金石,珍品,0,126,13848,消耗品\庚金石.png,
异之精火,灵品,0,4463,27,生产材料\异之精火.png,
引雷石,灵品,0,8,238800,物品\引雷石.png,
归墟大衍符,灵品,0,65,33180,消耗品\归墟大衍符.png,
归墟惊芒符,灵品,0,35,34500,消耗品\归墟惊芒符.png,
归墟摧岳符,灵品,0,98,32220,消耗品\归墟摧岳符.png,
归墟百川符,灵品,0,124,35880,消耗品\归墟百川符.png,
归墟神凰符,灵品,0,97,36746,消耗品\归墟神凰符.png,
归墟蚀骨符,灵品,0,70,35000,消耗品\归墟蚀骨符.png,
归墟运转符,灵品,0,31,36999,消耗品\归墟运转符.png,
归墟金身符,灵品,0,27,35980,消耗品\归墟金身符.png,
归藏丸,灵品,0,47,500,消耗品\归藏丸.png,
归藏碎玉,灵品,0,14,1948000,物品\归藏碎玉.png,
彩玉,灵品,0,48,18491,物品\彩玉.png,
怒涛岩,灵品,0,74,22331,法宝核心\怒涛岩.png,
怨星霜,灵品,0,14,36666,法宝核心\怨星霜.png,
惊芒符,灵品,0,66,8888,消耗品\惊芒符.png,
护甲片·聚,珍品,0,206,388,消耗品\护甲片聚.png,
拓脉丸,珍品,0,157,8775,消耗品\拓脉丸.png,
摧岳符,灵品,0,7,9095,消耗品\摧岳符.png,
方舆灵屑,灵品,0,19,1684000,物品\方舆灵屑.png,
无条盏·陈,良品,0,2421,34,生产材料\无条盏陈.png,
无条茧,良品,0,7795,58,生产材料\无条茧.png,
无条茧·精,珍品,0,882,720,生产材料\无条茧精.png,
无条革,珍品,0,515,720,生产材料\无条革.png,
无极封灵符（专精）,灵品,0,8,6000,消耗品\无极封灵符专精.png,
无极楚真符（核心）,灵品,0,19,15555,消耗品\无极楚真符核心.png,
无极殒天符（会心）,灵品,0,11,7999,消耗品\无极殒天符会心.png,
无极洗心符（气血）,灵品,0,17,14000,消耗品\无极洗心符气血.png,
无极渡尘符（调息）,灵品,0,3,8888,消耗品\无极渡尘符调息.png,
无极湮劫符（秽灭）,灵品,0,1,6666,消耗品\无极湮劫符秽灭.png,
无极焚真符（核心）,灵品,0,19,15555,消耗品\无极焚真符核心.png,
无极聚星符（专精）,灵品,0,11,19888,消耗品\无极聚星符专精.png,
无极荡邪符（核心）,灵品,0,46,17000,消耗品\无极荡邪符核心.png,
无极辟尘符（破甲）,灵品,0,5,3000,消耗品\无极辟尘符破甲.png,
时溯丸,灵品,0,150,18887,消耗品\时溯丸.png,
昆仑仙藤,灵品,0,6,39998,法宝核心\昆仑仙藤.png,
星引石,灵品,0,2346,20,生产材料\星引石.png,
春霖丸,灵品,0,41,749,消耗品\春霖丸.png,
月亮鱼,珍品,0,668,598,生产材料\月亮鱼.png,
月华丸,灵品,0,292,982,消耗品\月华丸.png,
月华露,灵品,0,4815,233,生产材料\月华露.png,
月魄残痕,灵品,0,43,1618000,物品\月魄残痕.png,
望舒御月奠,灵品,0,335,9780,消耗品\望舒御月奠.png,
望舒御月拳,灵品,0,335,9780,消耗品\望舒御月拳.png,
望舒御月羹,灵品,0,335,9780,消耗品\望舒御月羹.png,
朝天椒,凡品,0,11,5000000,生产材料\朝天椒.png,
木灵珠·仙,灵品,0,6,1760000,灵珠\木灵珠仙.png,
木灵珠·灵,灵品,0,51,36397,灵珠\木灵珠灵.png,
木灵珠·珍,灵品,0,10,13000,灵珠\木灵珠珍.png,
木灵珠·良,珍品,0,2,1700000,灵珠\木灵珠良.png,
木系技能自选礼包,灵品,0,24,219,礼包\木系技能自选礼包.png,
木系技能随机礼包,珍品,0,91,96,礼包\木系技能随机礼包.png,
材料盲盒,珍品,0,378,43,礼包\材料盲盒.png,
松露烬天鹿,灵品,0,29,998,消耗品\松露烬天鹿.png,
极道丹,灵品,0,28,8888,消耗品\极道丹.png,
染料,珍品,0,365,305,物品\染料.png,
染血之魂,灵品,0,30,59998,法宝核心\染血之魂.png,
栎木,凡品,0,309,40,生产材料\栎木.png,
棉绳,凡品,0,194,25,生产材料\棉绳.png,
比目鱼·陈,良品,0,34,188,生产材料\比目鱼陈.png,
毛纱,凡品,0,138,18,生产材料\毛纱.png,
水系技能自选礼包,灵品,0,31,786,礼包\水系技能自选礼包.png,
水系技能随机礼包,珍品,0,51,18,礼包\水系技能随机礼包.png,
水虎鱼·陈,珍品,0,9,200,生产材料\水虎鱼陈.png,
汐鱼·陈,凡品,0,114,380,生产材料\汐鱼陈.png,
汤浴绣鸡,珍品,0,3,555,消耗品\汤浴绣鸡.png,
沧海遗珠,灵品,0,539,5193,生产材料\沧海遗珠.png,
沧澜玄灵丸,灵品,0,6,400,消耗品\沧澜玄灵丸.png,
法宝核心匣·禅音,灵品,0,39,48800,礼包\法宝核心匣禅音.png,
法宝核心匣·追忆,灵品,0,121,24539,礼包\法宝核心匣追忆.png,
法宝核心随机礼包·,灵品,0,4,27980,礼包\法宝核心随机礼包.png,
法宝核心随机礼包··,灵品,0,4,27980,礼包\法宝核心随机礼包.png,
法宝核心随机礼包·一,灵品,0,4,27980,礼包\法宝核心随机礼包一.png,
法宝核心随机礼包·三,灵品,0,13,22220,礼包\法宝核心随机礼包三.png,
法宝核心随机礼包·二,灵品,0,4,19650,礼包\法宝核心随机礼包二.png,
法宝核心随机礼包·五,灵品,0,4,26666,礼包\法宝核心随机礼包五.png,
法宝核心随机礼包·四,灵品,0,9,18000,礼包\法宝核心随机礼包四.png,
流云袖袋,灵品,0,13,62000,物品\流云袖袋.png,
流星石,灵品,0,67,23332,消耗品\流星石.png,
流萤荷包,灵品,0,23,19784,物品\流萤荷包.png,
流言,灵品,0,21,259899,消耗品\流言.png,
浮生蔬,良品,0,290,1479,消耗品\浮生蔬.png,
海藻,珍品,0,3961,755,生产材料\海藻.png,
海马,珍品,0,810,598,生产材料\海马.png,
涵虚·玉面红袍,灵品,0,116,154,生产材料\涵虚玉面红袍.png,
涵虚·雪豹兰寿,珍品,0,51,60,生产材料\涵虚雪豹兰寿.png,
涵虚·麒麟兰寿,良品,0,36,30,生产材料\涵虚麒麟兰寿.png,
淬锋石,灵品,0,32,1666,消耗品\淬锋石.png,
混洞圣元丹,灵品,0,340,2200,消耗品\混洞圣元丹.png,
