时间,名称,品质信息,部位,物品等级,基础属性,绿字属性,灌注属性,基本信息,描述,获取途径
2026/1/24 19:50,空明战神饰,灵品,腕饰,朝玄 500/515,核心属性 312 | 体 672 | 法术防御 480,会心 975 | 专精 419,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,无我相，无人相，无众生相。战意化入空明，方见至高的宁静与核心属性量。,随身商店 | 副本宝箱
2026/1/24 19:50,空明战神颈,灵品,颈部,朝玄 500/515,核心属性 312 | 体 672 | 法术防御 480,会心 975 | 破甲 419,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,无我相，无人相，无众生相。战意化入空明，方见至高的宁静与核心属性量。,随身商店 | 副本宝箱
2026/1/24 19:50,曙魄天芒·命,灵品,地宝,出尘 455/475,核心属性 880 | 体 385 | 法术防御 480,,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,对 30%血以下目标造成的伤害和治疗增加【1.6%-3.2%】（效果唯一，在排位竞赛和综合竞赛玩法中不生效） | 灵扉叩彻初偶响，万象破晓自心生。,
2026/1/24 19:52,痴妄真如·地宝,灵品,地宝,悟道 480/495,核心属性 1148 | 体 547 | 法术防御 480,专精 173 | 调息 173,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 19:53,痴妄真如颈,灵品,颈部,悟道 480/495,核心属性 287 | 体 547 | 法术防御 480,调息 404 | 破甲 403,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 19:53,痴妄真如饰,灵品,腕饰,悟道 480/495,核心属性 287 | 体 547 | 法术防御 480,会心 404 | 专精 403,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 19:53,痴妄真如腕,灵品,手部,悟道 480/495,核心属性 2297 | 体 656 | 物理防御 384,调息 58 | 破甲 57,3孔,等级需求：70级 | 门派需求：门派 | 外观：勿【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 19:53,痴妄真如冠,灵品,头部,悟道 480/495,核心属性 2871 | 体 874 | 物理防御 384,专精 72 | 破甲 72,3孔,等级需求：70级 | 门派需求：门派 | 外观：凌霜·梵海静云饰【可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 19:57,欲海争舟袍,灵品,上身,出尘 470/475,核心属性 3176 | 体 965 | 物理防御 1152,会心 68 | 调息 67,3孔,等级需求：70级 | 门派需求：门派 | 外观：凌霜·梵海静云衫【可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 19:57,欲海争舟佩,灵品,护符,出尘 470/475,核心属性 1059 | 体 | 法术防御 480,专精 135 | 调息 135,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,装备唯一贪念化作无边欲海，众生争渡，我自为一叶孤舟。482,璇玑宝库 | 天墟秘境
2026/1/24 19:58,欲海争舟符,灵品,护符,出尘 470/475,核心属性 1059 | 体 | 法术防御 480,调息 135 | 破甲 135,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,装备唯一贪念化作无边欲海，众生争渡，我自为一叶孤舟。482,璇玑宝库 | 天墟秘境
2026/1/24 19:58,欲海争舟·令,灵品,令牌,出尘 470/475,核心属性 265 | 体 482 | 法术防御 480,会心 315 | 破甲 315,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:00,痴妄真如腿,灵品,腿部,悟道 480/495,核心属性 3445 | 体 1093 | 物理防御 1152,专精 87 | 调息 86,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:00,痴妄真如令,灵品,令牌,悟道 480/495,核心属性 287 | 体 547 | 法术防御 480,调息 404 | 破甲 403,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,¥痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:00,痴妄真如印,灵品,法印,悟道 480/495,核心属性 287 | 体 547 | 法术防御 480,专精 404 | 调息 403,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:01,曙魄天芒·星殒,灵品,法印,出尘 455/475,核心属性 220 | 体 385 | 法术防御 480,通关一至五层概率获取：法宝伤害增加【8%-12%】 | 通关六至十层概率获取：法宝伤害增加【12%-20%】 | 通关十一至十五层概率获取：法宝伤害增加【12%-24%】 | 通关十六至二十层概率获取：法宝伤害增加【12%-24%】 | （效果唯一，在排位竞赛和综合竞赛玩法中不生效）,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,灵扉叩彻初偈响，万象破晓自心生。,
2026/1/24 20:01,痴妄真如符,灵品,护符,悟道 480/495,核心属性 1148 | 体 547 | 法术防御 480,会心 173 | 调息 173,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,装备唯一痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:01,痴妄真如佩,灵品,护符,悟道 480/495,核心属性 1148 | 体 547 | 法术防御 480,会心 173 | 破甲 173,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,装备唯一痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:01,痴妄真如袍,灵品,上身,悟道 480/495,核心属性 3445 | 体 1093 | 物理防御 1152,会心 87 | 破甲 86,3孔,等级需求：70级 | 门派需求：门派 | 外观：凌霜·梵海静云衫【可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:02,欲海争舟腿,灵品,腿部,出尘 470/475,核心属性 3176 | 体 965 | 物理防御 1152,会心 68 | 专精 67,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,灌注属性：贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:02,欲海争舟令,灵品,令牌,出尘 470/475,核心属性 265 | 体 482 | 法术防御 480,专精 315 | 调息 315,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:02,欲海争舟印,灵品,法印,出尘 470/475,核心属性 265 | 体 482 | 法术防御 480,会心 315 | 破甲 315,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:02,欲海争舟冠,灵品,头部,出尘 470/475,核心属性 2646 | 体 772 | 物理防御 384,会心 57 | 专精 56,3孔,等级需求：70级 | 门派需求：门派 | 外观：凌霜·梵海静云饰【可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:02,欲海争舟腕,灵品,手部,出尘 470/475,核心属性 2117 | 体 579 | 物理防御 384,会心 45 | 调息 45,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,灌注属性：贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:02,欲海争舟饰,灵品,腕饰,出尘 470/475,核心属性 265 | 体 482 | 法术防御 480,调息 315 | 破甲 315,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:02,欲海争舟颈,灵品,颈部,出尘 470/475,核心属性 265 | 体 482 | 法术防御 480,专精 315 | 破甲 315,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,欲海争舟带,灵品,腰部,出尘 470/475,核心属性 2117 | 体 579 | 物理防御 384,专精 45 | 调息 45,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,欲海争舟履,灵品,,出尘 470/475,核心属性 2646 | 体 772 | 物理防御 384,专精 57 | 破甲 56,无,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,欲海争舟·地宝,灵品,地宝,出尘 470/475,核心属性 1059 | 体 482 | 法术防御 480,调息 135 | 破甲 135,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,欲海争舟·天灵,灵品,天灵,出尘 470/475,核心属性 1059 | 体 482 | 法术防御 480,会心 135 | 专精 135,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,贪念化作无边欲海，众生争渡，我自为一叶孤舟。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,痴妄真如·天灵,灵品,天灵,悟道 480/495,核心属性 1148 | 体 547 | 法术防御 480,专精 173 | 破甲 173,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,痴妄真如·地宝,灵品,地宝,悟道 480/495,核心属性 1148 | 体 547 | 法术防御 480,专精 173 | 破甲 173,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,痴妄真如履,灵品,,悟道 480/495,核心属性 2871 | 体 874 | 物理防御 384,会心 72 | 调息 72,无,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:03,痴妄真如带,灵品,腰部,悟道 480/495,核心属性 2297 | 体 656 | 物理防御 384,专精 58 | 破甲 57,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,痴念至极，反见真如。渡尽劫波，方知执着本身，即是彼岸。,璇玑宝库 | 天墟秘境
2026/1/24 20:04,曙魄天芒·渊默,灵品,颈部,出尘 455/475,核心属性 220 | 体 385 | 法术防御 480,通关一至五层概率获取：造成的伤害和治疗增加【0.4%-0.55%】 | 通关六至十层概率获取：造成的伤害和治疗增加【0.55%-0.85%】 | 通关十一至十五层概率获取：造成的伤害和治疗增加【0.55%-1%】 | 通关十六至二十层概率获取：造成的伤害和治疗增加【0.55%-1%】 | （效果唯一，在排位竞赛和综合竞赛玩法中不生效）,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,灵扉叩彻初偈响，万象破晓自心生。,
